chem,gene,Column1,disease,gene_product,#_chem-gene_product_Pubmed_Abstracts,#_gene_product-disease_Pubmed_Abstracts,#_chem-disease_Pubmed_Abstracts,#_chem-gene_product-disease_Pubmed_Abstracts,Metal PDB ID
chromium,INS,,melanoma,insulin,883,553,149,0,
cobalt,HIF1A,,Chest tightness,hypoxia inducible factor 1 subunit alpha,608,0,4,0,
cobalt,HIF1A,,Chronic fatigue,hypoxia inducible factor 1 subunit alpha,608,2,2,0,
cobalt,HIF1A,,Cognitive impairment,hypoxia inducible factor 1 subunit alpha,608,26,22,1,
cobalt,HIF1A,,Dyspnea,hypoxia inducible factor 1 subunit alpha,608,2,62,0,
cobalt,HIF1A,,NLRP3 inflammasome complex,hypoxia inducible factor 1 subunit alpha,608,2,3,0,
cobalt,HIF1A,,Palpitations,hypoxia inducible factor 1 subunit alpha,608,0,0,0,
cobalt,HIF1A,,Tinnitus,hypoxia inducible factor 1 subunit alpha,608,0,12,0,
cobalt,HIF1A,,cardiomyopathy,hypoxia inducible factor 1 subunit alpha,608,140,177,4,
cobalt,HIF1A,,fibromyalgia,hypoxia inducible factor 1 subunit alpha,608,0,2,0,
cobalt,HIF1A,,heart failure,hypoxia inducible factor 1 subunit alpha,608,138,175,4,
cobalt,HIF1A,,hypothyroidism,hypoxia inducible factor 1 subunit alpha,608,2,57,0,
cobalt,HIF1A,,innate immune response,hypoxia inducible factor 1 subunit alpha,608,186,138,3,
cobalt,HIF1A,,melanoma,hypoxia inducible factor 1 subunit alpha,608,210,329,3,
cobalt,HIF1A,,prostate cancer,hypoxia inducible factor 1 subunit alpha,608,424,272,14,
chromium,CAT,,anaplastic large cell lymphoma,catalase,471,0,0,0,
chromium,CAT,,melanoma,catalase,471,217,149,0,
titanium,TNF,,NLRP3 inflammasome complex,tumor necrosis factor,447,74,1,0,
titanium,TNF,,innate immune response,tumor necrosis factor,447,8759,208,26,
titanium,TNF,,periprosthetic osteolysis,tumor necrosis factor,447,125,226,53,
cobalt,HMOX1,,Chest tightness,heme oxygenase 1,423,0,4,0,
cobalt,HMOX1,,Chronic fatigue,heme oxygenase 1,423,5,2,0,
cobalt,HMOX1,,Cognitive impairment,heme oxygenase 1,423,139,22,2,
cobalt,HMOX1,,Demyelinating polyneuropathy,heme oxygenase 1,423,1,0,0,
cobalt,HMOX1,,Dyspnea,heme oxygenase 1,423,1,62,0,
cobalt,HMOX1,,NLRP3 inflammasome complex,heme oxygenase 1,423,2,3,0,
cobalt,HMOX1,,Palpitations,heme oxygenase 1,423,0,0,0,
cobalt,HMOX1,,Tinnitus,heme oxygenase 1,423,1,12,0,
cobalt,HMOX1,,cardiomyopathy,heme oxygenase 1,423,228,177,7,
cobalt,HMOX1,,demyelinating polyneuropathy,heme oxygenase 1,423,1,0,0,
cobalt,HMOX1,,fibromyalgia,heme oxygenase 1,423,0,2,0,
cobalt,HMOX1,,heart failure,heme oxygenase 1,423,155,175,7,
cobalt,HMOX1,,hypothyroidism,heme oxygenase 1,423,2,57,0,
cobalt,HMOX1,,innate immune response,heme oxygenase 1,423,201,138,4,
cobalt,HMOX1,,melanoma,heme oxygenase 1,423,59,329,1,
cobalt,HMOX1,,prostate cancer,heme oxygenase 1,423,75,272,0,
chromium(3+),INS,,melanoma,insulin,389,553,47,0,
cobalt(2+),HIF1A,,Chest tightness,hypoxia inducible factor 1 subunit alpha,349,0,1,0,
cobalt(2+),HIF1A,,Chronic fatigue,hypoxia inducible factor 1 subunit alpha,349,2,2,0,
cobalt(2+),HIF1A,,Cognitive impairment,hypoxia inducible factor 1 subunit alpha,349,26,9,0,
cobalt(2+),HIF1A,,Dyspnea,hypoxia inducible factor 1 subunit alpha,349,2,20,0,
cobalt(2+),HIF1A,,NLRP3 inflammasome complex,hypoxia inducible factor 1 subunit alpha,349,2,1,0,
cobalt(2+),HIF1A,,Palpitations,hypoxia inducible factor 1 subunit alpha,349,0,0,0,
cobalt(2+),HIF1A,,Tinnitus,hypoxia inducible factor 1 subunit alpha,349,0,5,0,
cobalt(2+),HIF1A,,cardiomyopathy,hypoxia inducible factor 1 subunit alpha,349,140,49,1,
cobalt(2+),HIF1A,,fibromyalgia,hypoxia inducible factor 1 subunit alpha,349,0,1,0,
cobalt(2+),HIF1A,,heart failure,hypoxia inducible factor 1 subunit alpha,349,138,83,1,
cobalt(2+),HIF1A,,hypothyroidism,hypoxia inducible factor 1 subunit alpha,349,2,23,0,
cobalt(2+),HIF1A,,innate immune response,hypoxia inducible factor 1 subunit alpha,349,186,46,3,
cobalt(2+),HIF1A,,melanoma,hypoxia inducible factor 1 subunit alpha,349,210,119,1,
cobalt(2+),HIF1A,,prostate cancer,hypoxia inducible factor 1 subunit alpha,349,424,116,7,
nickel,CAT,,NLRP3 inflammasome complex,catalase,275,6,2,0,
nickel,CAT,,allergic contact dermatitis,catalase,275,4,1920,0,
nickel,CAT,,anaplastic large cell lymphoma,catalase,275,0,0,0,
