Entry ID,PubMed ID,DOI,PDB ID,Structure Title,Stucture Keywords,Source Organism,Gene Name,Macromolecule Name
3MAO,?,?,3MAO,Crystal Structure of Human Methionine-R-Sulfoxide Reductase B1 (MsrB1),OXIDOREDUCTASE,Homo sapiens,HSPC270,Methionine-R-sulfoxide reductase B1
?,?,?,?,?,?,?,MSRB1,?
?,?,?,?,?,?,?,SEPX1,?
?,?,?,?,?,?,?,SEPX1 (MsrB1),?
?,?,?,?,?,?,?,MSRB1,?
?,?,?,?,?,?,?,SEPX1,?
?,?,?,?,?,?,?,HSPC270,?
3N5N,20816984,10.1016/j.jmb.2010.08.045,3N5N,Crystal structure analysis of the catalytic domain and interdomain connector of human MutY homologue,HYDROLASE,Homo sapiens,MUTYH,A/G-specific adenine DNA glycosylase
?,?,?,?,?,?,?,MYH,?
?,?,?,?,?,?,?,MUTYH,?
?,?,?,?,?,?,?,MYH,?
3MZ6,20545365,10.1021/bi1005046,3MZ6,Crystal structure of D101L Fe2+ HDAC8 complexed with M344,HYDROLASE,Homo sapiens,HDAC8,Histone deacetylase 8
?,?,?,?,?,?,?,HDAC8,?
?,?,?,?,?,?,?,HDACL1,?
?,?,?,?,?,?,?,CDA07,?
3NA0,21636783,10.1073/pnas.1019441108,3NA0,"Crystal structure of human CYP11A1 in complex with 20,22-dihydroxycholesterol","Oxidoreductase, Electron transport",Homo sapiens,CYP11A,"Cholesterol side-chain cleavage enzyme, mitochondrial"
?,?,?,?,?,?,?,CYP11A1,?
?,?,?,?,?,?,?,CYP11A1,?
?,?,?,?,?,?,?,CYP11A,?
?,?,?,?,?,?,Homo sapiens,adrenodoxin,"Adrenodoxin, mitochondrial"
?,?,?,?,?,?,?,ADX,?
?,?,?,?,?,?,?,FDX1,?
?,?,?,?,?,?,?,FDX1,?
?,?,?,?,?,?,?,ADX,?
4D4Z,25865244,10.1016/j.str.2015.03.002,4D4Z,STRUCTURE OF HUMAN DEOXYHYPUSINE HYDROXYLASE in complex with glycerol,OXIDOREDUCTASE,Homo sapiens,DOHH,DEOXYHYPUSINE HYDROXYLASE
?,?,?,?,?,?,?,HLRC1,?
4E1H,23808589,10.1021/ja403001q,4E1H,Fragment of human prion protein,CELL CYCLE,Homo sapiens,PRNP,Major prion protein
?,?,?,?,?,?,?,ALTPRP,?
?,?,?,?,?,?,?,PRIP,?
?,?,?,?,?,?,?,PRP,?
?,?,?,?,?,?,Homo sapiens,PRNP,Major prion protein
?,?,?,?,?,?,?,ALTPRP,?
?,?,?,?,?,?,?,PRIP,?
?,?,?,?,?,?,?,PRP,?
4E4H,?,?,4E4H,Crystal structure of Histone Demethylase NO66,OXIDOREDUCTASE,Homo sapiens,C14orf169,Lysine-specific demethylase NO66
?,?,?,?,?,?,?,NO66,?
?,?,?,?,?,?,?,RIOX1,?
?,?,?,?,?,?,?,C14orf169,?
?,?,?,?,?,?,?,MAPJD,?
?,?,?,?,?,?,?,NO66,?
4L3V,24043838,10.1073/pnas.1313683110,4L3V,Crystal structure of delta516-525 human cystathionine beta-synthase,LYASE,Homo sapiens,CBS,Cystathionine beta-synthase
?,?,?,?,?,?,?,CBS,?
3KV5,20023638,10.1038/nsmb.1753,3KV5,"Structure of KIAA1718, human Jumonji demethylase, in complex with N-oxalylglycine","H3K4me3 binding protein, Transferase",Homo sapiens,JHDM1D,JmjC domain-containing histone demethylation protein 1D
?,?,?,?,?,?,?,KIAA1718,?
?,?,?,?,?,?,?,KDM7A,?
?,?,?,?,?,?,?,JHDM1D,?
?,?,?,?,?,?,?,KDM7,?
?,?,?,?,?,?,?,KIAA1718,?
